od_key,src,dst,is_diag,class,flow_scale,sum_mse,rmse,mae,mean_true,max_true,mean_pred,rank,mse_share_pct,cum_mse_pct,rank_pct,tier
33_47-33_47,33_47,33_47,True,Temporary Increase,Medium (50~200人),2804.4080713465173,10.007868460342516,7.78931029000518,101.31049980401228,134.2836483010136,100.93879642857141,37,0.5673296878097949,62.01536442475463,2.3870967741935485,🟠 Top 1%~5% 次級幹線 (高度誤差)
60_62-60_62,60_62,60_62,True,Delayed Decrease,Medium (50~200人),2764.278561812006,9.936006962076304,8.019417857532405,86.2787296866225,107.0280104705077,80.02535714285715,38,0.559211517580295,62.57457594233492,2.4516129032258065,🟠 Top 1%~5% 次級幹線 (高度誤差)
40_38-40_38,40_38,40_38,True,True Stable,Medium (50~200人),2674.9017052384784,9.774057691589357,8.15788646881191,72.50121416503796,91.7216465680498,70.44039642857143,39,0.5411306453080461,63.115706587642975,2.5161290322580645,🟠 Top 1%~5% 次級幹線 (高度誤差)
37_43-37_43,37_43,37_43,True,Temporary Increase,Medium (50~200人),2663.0928217694513,9.752459070426164,8.12112199171708,82.23582398634996,95.86339919539272,82.24475714285714,40,0.5387417168777237,63.65444830452069,2.5806451612903225,🟠 Top 1%~5% 次級幹線 (高度誤差)
54_56-54_56,54_56,54_56,True,True Stable,Medium (50~200人),2595.1208545910845,9.627195212727708,8.070901818203039,151.40686169940403,175.19393299922498,151.400425,41,0.5249910379686429,64.17943934248935,2.6451612903225805,🟠 Top 1%~5% 次級幹線 (高度誤差)
39_45-39_45,39_45,39_45,True,Partial Dissipation,Medium (50~200人),2402.5181604751883,9.26305673182298,7.562613851030056,84.67571808721638,101.30419639073796,85.37431785714287,42,0.48602765477183446,64.66546699726116,2.7096774193548385,🟠 Top 1%~5% 次級幹線 (高度誤差)
58_43-58_43,58_43,58_43,True,Delayed Decrease,Medium (50~200人),2349.613199337727,9.160499829114377,6.4073524816529615,68.90033662599467,84.7527944194922,72.19585714285715,43,0.47532502009025124,65.14079201735143,2.7741935483870965,🟠 Top 1%~5% 次級幹線 (高度誤差)
42_47-42_47,42_47,42_47,True,Partial Recovery,Medium (50~200人),2336.1092583653644,9.134137808958695,7.9434998993440535,81.19128348179825,101.57559512829935,80.11630714285715,44,0.47259318277515827,65.61338520012659,2.838709677419355,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_36-30_36,30_36,30_36,True,True Stable,Medium (50~200人),2269.428931444807,9.002834735009078,7.542373876936316,55.91896708366403,73.86359522635658,58.514889285714276,45,0.45910380173913407,66.07248900186572,2.903225806451613,🟠 Top 1%~5% 次級幹線 (高度誤差)
35_38-35_38,35_38,35_38,True,True Stable,Medium (50~200人),2250.174534401404,8.964562244115523,7.325098173589026,70.8913488938471,85.80586803075516,69.46811785714286,46,0.4552086513952132,66.52769765326093,2.967741935483871,🟠 Top 1%~5% 次級幹線 (高度誤差)
54_60-54_60,54_60,54_60,True,Partial Recovery,Medium (50~200人),2247.823660880503,8.959878149842105,7.389464701201449,63.046072885645195,75.09962864329702,62.02580714285714,47,0.45473307141299885,66.98243072467392,3.032258064516129,🟠 Top 1%~5% 次級幹線 (高度誤差)
38_45-38_45,38_45,38_45,True,Partial Dissipation,Medium (50~200人),2235.744379927724,8.935771570986317,6.724060704505351,108.90969694005831,123.97552146338542,108.50436071428571,48,0.45228944177082026,67.43472016644473,3.096774193548387,🟠 Top 1%~5% 次級幹線 (高度誤差)
33_38-33_38,33_38,33_38,True,True Stable,Medium (50~200人),2219.8503890178677,8.90395255133092,6.057230223403624,87.01217598590323,95.89072183840558,90.26163214285715,49,0.44907409911328366,67.88379426555802,3.1612903225806455,🟠 Top 1%~5% 次級幹線 (高度誤差)
31_37-31_37,31_37,31_37,True,True Stable,Medium (50~200人),2169.096056312352,8.801574648713133,7.275024324262306,75.68910232066936,95.12201585166376,75.22644642857142,50,0.43880653497986954,68.32260080053788,3.225806451612903,🟠 Top 1%~5% 次級幹線 (高度誤差)
32_69-32_69,32_69,32_69,True,True Stable,Medium (50~200人),2096.993322218389,8.654052152064763,7.453373300193657,84.55921545788627,106.7211930541825,87.47312142857143,51,0.4242202049654505,68.74682100550335,3.2903225806451615,🟠 Top 1%~5% 次級幹線 (高度誤差)
31_47-31_47,31_47,31_47,True,Partial Dissipation,Medium (50~200人),2063.0874425721195,8.583804190309545,7.561567027254504,70.76759923775789,85.07313730050922,71.42617142857144,52,0.41736107047957705,69.16418207598292,3.354838709677419,🟠 Top 1%~5% 次級幹線 (高度誤差)
46_35-46_35,46_35,46_35,True,True Stable,Medium (50~200人),2043.120505315322,8.542165385635379,7.158438506248943,98.54933721582381,120.34321251486224,99.29330714285716,53,0.41332177377516494,69.57750384975809,3.4193548387096775,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_47-30_47,30_47,30_47,True,True Stable,Medium (50~200人),2007.25683240667,8.466861520925208,7.059054249806417,70.71407849757063,93.42177032518441,69.511375,54,0.406066579153931,69.98357042891202,3.483870967741935,🟠 Top 1%~5% 次級幹線 (高度誤差)
